Status,ExternalReference,DistributionChannel,UserLanguage,Q2,Q3,Q2.1,Q3.1,Q4,Q27,Q28,Q29,Q30,Q42,Q43,Q44,Q50,Q45,Q13,Q14,Q15,Q32,Q33,Q34,Q35,Q36,Q46,Q47,Q48,Q49,Q18,Q37,Q38,Q39,Q40,Q41,Q32.1,Q33.1,Q34.1,Q35.1,Q36.1,Q37.1,Q38.1,Q39.1,Q40.1,Q41.1,Q42.1,Q43.1,gender,gender_4_TEXT,age,nationality
IP Address,,anonymous,EN-GB,Yes,60916bcb7a32838a66b8cb82,Strongly agree,Strongly agree,Strongly agree,Extremely dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,A great deal,A lot,A great deal,A lot,Most of the time,Completely,Completely,Not at all,None at all,None at all,A moderate amount,A lot,None at all,A great deal,None at all,A moderate amount,None at all,A moderate amount,A great deal,A great deal,A great deal,A lot,A great deal,A little,A little,A moderate amount,A moderate amount,A moderate amount,A great deal,A great deal,A lot,A moderate amount,A little,A little,A little,Male,,29,Portuguese
IP Address,,anonymous,EN-GB,Yes,613ee5c73de62443db76d074,Somewhat agree,Somewhat agree,Somewhat agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A moderate amount,A lot,A moderate amount,A moderate amount,Sometimes,A lot,A lot,Somewhat,A little,A moderate amount,A little,A moderate amount,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,A lot,A lot,A lot,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Male,,31,South African
IP Address,,anonymous,EN-GB,Yes,615363bda302d2c6c0888afc,Strongly agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A great deal,A lot,A moderate amount,A lot,Sometimes,A lot,A lot,A lot,None at all,A little,A moderate amount,A moderate amount,A moderate amount,A lot,A lot,A little,A moderate amount,A lot,A lot,A lot,A lot,A lot,A moderate amount,A lot,A lot,A moderate amount,A moderate amount,A lot,A lot,A lot,A moderate amount,A little,A moderate amount,A lot,A lot,Female,,26,Polish
IP Address,,anonymous,EN-GB,Yes,669a6b99235170606c0c4613,Strongly agree,Somewhat agree,Somewhat agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A lot,A lot,A lot,A lot,About half the time,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A moderate amount,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Female,,25,Polish
IP Address,,anonymous,EN-GB,Yes,5ede000fb1248f0009695ab4,Somewhat agree,Neither agree nor disagree,Somewhat agree,Extremely dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,Extremely satisfied,A great deal,A great deal,A great deal,A little,Sometimes,A lot,Somewhat,Not at all,A little,A little,A little,A little,A little,A moderate amount,A little,A little,A moderate amount,A little,A great deal,A great deal,A great deal,A great deal,A lot,A moderate amount,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A little,A little,None at all,A little,A little,Male,,28,Greek
IP Address,,anonymous,EN-GB,Yes,616477d6533d65db91e19733,Somewhat agree,Somewhat agree,Somewhat agree,Extremely dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A lot,A little,A lot,A lot,Sometimes,A little,Somewhat,Somewhat,A moderate amount,A lot,A little,A little,A moderate amount,A lot,A lot,A lot,A little,A moderate amount,A lot,A little,A moderate amount,A lot,A lot,A moderate amount,A lot,A little,A little,A moderate amount,A lot,A little,A moderate amount,A little,A lot,A lot,A lot,Male,,25,South African 
IP Address,,anonymous,EN-GB,Yes,66ba2c28a09750e40aa3f1cd,Strongly agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A great deal,A great deal,A great deal,None at all,Sometimes,A lot,A lot,A little,None at all,A moderate amount,None at all,None at all,None at all,A moderate amount,None at all,None at all,A little,None at all,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A little,A little,None at all,A lot,None at all,None at all,A little,None at all,None at all,None at all,None at all,None at all,Female,,34,British 
IP Address,,anonymous,EN-GB,Yes,66b26659cee77331828f6fe2,Somewhat disagree,Strongly disagree,Strongly Disagree,Somewhat dissatisfied,Somewhat satisfied,Extremely satisfied,Extremely satisfied,A lot,A lot,A lot,A great deal,About half the time,A lot,Somewhat,A lot,A little,A moderate amount,A little,A little,A little,A lot,A lot,A lot,A lot,None at all,A little,A moderate amount,A lot,A great deal,A lot,A little,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A lot,A lot,A great deal,A great deal,Female,,32,South African
IP Address,,anonymous,EN-GB,Yes,5bfe92adaa5fa30001369e01,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat dissatisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,A moderate amount,A moderate amount,A lot,A lot,Sometimes,A lot,A lot,A lot,A moderate amount,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A moderate amount,None at all,A lot,A lot,A lot,A lot,A great deal,None at all,None at all,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A moderate amount,A lot,A lot,Male,,24,Polish
IP Address,,anonymous,EN-GB,Yes,66c7aca0d546c67c11be4ca0,Strongly agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A great deal,A lot,A great deal,None at all,Sometimes,A lot,Completely,Not at all,None at all,A moderate amount,None at all,A lot,None at all,A lot,None at all,A lot,A great deal,None at all,A lot,A great deal,A great deal,A lot,A moderate amount,A great deal,A moderate amount,A moderate amount,A lot,A lot,A lot,A great deal,A lot,None at all,A moderate amount,None at all,A lot,Male,,31,British
IP Address,,anonymous,EN-GB,Yes,6571d2250a4f152cb553c3cf,Strongly agree,Strongly agree,Somewhat agree,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A great deal,A lot,A moderate amount,A lot,Most of the time,A lot,Somewhat,A lot,A moderate amount,A moderate amount,A moderate amount,A lot,A little,A great deal,A little,A lot,A lot,A little,A great deal,A moderate amount,A great deal,A lot,A great deal,A moderate amount,A lot,A little,A lot,A moderate amount,A lot,A lot,A lot,A moderate amount,None at all,A little,None at all,Female,,25,French
IP Address,,anonymous,EN-GB,Yes,61366373954c6965f1db1e88,Somewhat agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Sometimes,A lot,Somewhat,A little,A little,A moderate amount,A little,A moderate amount,A moderate amount,A little,A little,A little,A moderate amount,A moderate amount,A lot,A lot,A lot,A great deal,A lot,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A great deal,A great deal,A moderate amount,A little,A little,A little,A little,Prefer not to say,,25,Greek
IP Address,,anonymous,EN-GB,Yes,6116765a9864059e6e18ca33,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Extremely dissatisfied,Extremely satisfied,A moderate amount,A lot,A moderate amount,A lot,Sometimes,Somewhat,A lot,A little,A moderate amount,A lot,A moderate amount,A moderate amount,A little,A lot,A little,A lot,A great deal,A little,A lot,A lot,A lot,A lot,A great deal,A little,A little,A moderate amount,A lot,A lot,A lot,A great deal,A lot,A lot,A lot,A lot,A lot,Non-binary / third gender,,21,Spanish
IP Address,,anonymous,EN-GB,Yes,611ec49716b95cd9e2e981b4,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Sometimes,Somewhat,Somewhat,A little,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,A lot,A little,A little,A lot,A great deal,A lot,A lot,A great deal,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A lot,Female,,31,South African 
IP Address,,anonymous,EN-GB,Yes,66d5fdcb92ac6355b9d06d61,Somewhat agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,A moderate amount,A moderate amount,A little,A great deal,Sometimes,Somewhat,A lot,Somewhat,A little,A little,A little,A moderate amount,A little,A moderate amount,A little,A little,A moderate amount,A moderate amount,A lot,A lot,A lot,A great deal,A great deal,A little,A little,A lot,A great deal,A lot,A lot,A moderate amount,A lot,A moderate amount,A little,A little,A little,Male,,18,Portuguese
IP Address,,anonymous,EN-GB,Yes,661e8c3f6ff5d0502d0d8407,Somewhat agree,Somewhat agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A little,A moderate amount,A moderate amount,A lot,Sometimes,Somewhat,A lot,A lot,A little,A moderate amount,A little,A moderate amount,A little,A little,A lot,A lot,A moderate amount,A little,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Female,,27,british
IP Address,,anonymous,EN-GB,Yes,5eeef519270c55037909c770,Somewhat agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,A great deal,A great deal,A lot,A lot,Sometimes,A lot,Completely,Not at all,A little,A moderate amount,A moderate amount,A moderate amount,None at all,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,None at all,A moderate amount,A great deal,A great deal,A moderate amount,A little,A little,A lot,A moderate amount,A moderate amount,A moderate amount,A great deal,A lot,A moderate amount,A little,A little,Male,,40,Italian
IP Address,,anonymous,EN-GB,Yes,5e31aeefc549ee023d351eab,Strongly agree,Strongly agree,Somewhat agree,Somewhat dissatisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,A great deal,A lot,A little,A little,Sometimes,Somewhat,A lot,A little,None at all,A little,A moderate amount,A lot,None at all,A lot,None at all,A moderate amount,A lot,A little,A lot,A great deal,A great deal,A lot,A great deal,A lot,A moderate amount,A little,A moderate amount,A moderate amount,A great deal,A little,A lot,A little,None at all,A moderate amount,None at all,Female,,26,Portuguese
IP Address,,anonymous,EN-GB,Yes,665529126832e96c9d06203a,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A moderate amount,A moderate amount,A moderate amount,A little,Sometimes,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,A lot,A moderate amount,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A little,A little,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,Female,,25,美国
IP Address,,anonymous,EN-GB,Yes,65e05172caa288d5f6ecf76b,Somewhat agree,Strongly agree,Somewhat agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A great deal,A great deal,A lot,A great deal,Most of the time,A lot,A lot,A lot,A moderate amount,A lot,A lot,A great deal,A lot,A great deal,A lot,A lot,A great deal,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A moderate amount,A lot,A great deal,A great deal,Female,,24,South African
IP Address,,anonymous,EN-GB,Yes,607573bb22b8b1744a5026e2,Somewhat agree,Somewhat agree,Somewhat agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,A moderate amount,A moderate amount,A moderate amount,A little,Never,A little,Somewhat,Not at all,None at all,None at all,None at all,A little,None at all,A lot,None at all,A moderate amount,A moderate amount,None at all,A lot,A lot,A lot,None at all,A moderate amount,A little,A little,A moderate amount,None at all,A little,None at all,A moderate amount,None at all,None at all,None at all,None at all,None at all,Female,,24,Poland
IP Address,,anonymous,EN-GB,Yes,66a9fe50e4465f3d99e95fc2,Strongly agree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Extremely satisfied,A great deal,A lot,A moderate amount,A little,Sometimes,A little,Somewhat,A lot,A little,A moderate amount,None at all,,None at all,A little,A little,A moderate amount,A little,A lot,A moderate amount,None at all,A little,A great deal,A moderate amount,A moderate amount,A little,A lot,A moderate amount,A lot,A moderate amount,A moderate amount,A little,None at all,,None at all,None at all,Male,,20,South African
IP Address,,anonymous,EN-GB,Yes,5eb2f1a1ce5ba10ab2c0a042,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,A great deal,A lot,A moderate amount,None at all,Sometimes,Somewhat,A lot,A lot,None at all,A moderate amount,A moderate amount,A moderate amount,None at all,A little,A lot,A great deal,A little,A moderate amount,A moderate amount,A great deal,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A great deal,A lot,A lot,A great deal,A great deal,A little,A lot,A lot,A lot,Male,,48,American
IP Address,,anonymous,EN-GB,Yes,5bf0139e48f7f50001ab0394,Somewhat agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A great deal,A lot,A lot,A great deal,Sometimes,Somewhat,Completely,Not at all,None at all,A moderate amount,A little,A moderate amount,None at all,A great deal,A moderate amount,A great deal,A great deal,A little,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A great deal,A lot,A great deal,A lot,A lot,A moderate amount,A great deal,None at all,A moderate amount,A moderate amount,A moderate amount,Female,,31,British
IP Address,,anonymous,EN-GB,Yes,6523351ec0163b9e739d13ab,Somewhat agree,Somewhat agree,Somewhat agree,Neither satisfied nor dissatisfied,Extremely satisfied,Somewhat dissatisfied,Extremely satisfied,A lot,A great deal,A moderate amount,A moderate amount,Sometimes,Not at all,A lot,Not at all,None at all,A little,A little,A moderate amount,A little,A great deal,A little,A little,A little,A little,A lot,A great deal,A great deal,A great deal,A great deal,A moderate amount,A lot,A little,A lot,A moderate amount,A moderate amount,A lot,A great deal,A moderate amount,A little,A moderate amount,A little,Male,,30,Portuguese
IP Address,,anonymous,EN-GB,Yes,5e5eb2c22e5b4a046a224902,Strongly agree,Strongly agree,Strongly agree,Extremely satisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Extremely satisfied,A great deal,None at all,None at all,A lot,About half the time,Somewhat,Somewhat,Not at all,None at all,A little,None at all,A moderate amount,None at all,A lot,A moderate amount,A great deal,A lot,A great deal,None at all,A great deal,A great deal,A lot,A great deal,None at all,A moderate amount,None at all,A lot,None at all,A great deal,A moderate amount,A moderate amount,A moderate amount,None at all,None at all,None at all,Female,,25,portuguese
IP Address,,anonymous,EN-GB,Yes,6151cfe3ba49dd3ad62708ee,Somewhat agree,Somewhat agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,A great deal,A lot,A moderate amount,A great deal,About half the time,Completely,A lot,A lot,A moderate amount,A great deal,A lot,A lot,A little,A little,A moderate amount,A moderate amount,A lot,A lot,A great deal,A great deal,A great deal,A lot,A great deal,A lot,A lot,A moderate amount,A lot,A moderate amount,A great deal,A lot,A moderate amount,A lot,A lot,A lot,A lot,Male,,38,Mexican
IP Address,,anonymous,EN-GB,Yes,5c05e8394c14cf00019dac1a,Somewhat agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A moderate amount,A great deal,A moderate amount,A great deal,Sometimes,A lot,Completely,Not at all,None at all,A lot,A little,None at all,None at all,A little,A moderate amount,A moderate amount,A little,A lot,A moderate amount,A lot,A great deal,A great deal,A great deal,None at all,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A great deal,A little,None at all,A moderate amount,A moderate amount,A moderate amount,Male,,39,Canadian
IP Address,,anonymous,EN-GB,Yes,56220229ed6e5a0005c7fac1,Somewhat agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A lot,A moderate amount,A moderate amount,None at all,Sometimes,Somewhat,Somewhat,A little,A little,A moderate amount,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A lot,A little,A little,A lot,A lot,A lot,A lot,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A little,A lot,A lot,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Female,,34,New Zealander
IP Address,,anonymous,EN-GB,Yes,66f955fc0dc1f74a127ff552,Strongly agree,Somewhat agree,Strongly agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Extremely satisfied,A great deal,A lot,A little,A lot,Sometimes,A little,A lot,A little,A moderate amount,A lot,A little,A moderate amount,A little,A great deal,A little,A lot,A moderate amount,None at all,A great deal,A great deal,A great deal,A great deal,A great deal,A moderate amount,A lot,None at all,A moderate amount,A little,A great deal,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Female,,53,Spanish and Venezuelan
IP Address,,anonymous,EN-GB,Yes,6676ee492d210377816e3762,Strongly disagree,Strongly agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,A great deal,A great deal,A great deal,A great deal,Sometimes,A lot,A lot,A lot,A lot,A lot,A moderate amount,A lot,A lot,A lot,A lot,A little,A moderate amount,A little,A lot,A lot,A lot,A lot,A lot,A lot,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,Female,,48,Zimbabwean
IP Address,,anonymous,EN-GB,Yes,5c56550e54f9d30001db7f50,Strongly agree,Somewhat agree,Strongly agree,Somewhat dissatisfied,Somewhat satisfied,Extremely satisfied,Neither satisfied nor dissatisfied,A great deal,A little,A little,None at all,Sometimes,A lot,A lot,A little,None at all,A little,None at all,A little,A little,A little,None at all,A moderate amount,None at all,A moderate amount,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,A little,None at all,None at all,A little,A moderate amount,A little,A little,A moderate amount,None at all,A little,A little,Male,,38,british
IP Address,,anonymous,EN-GB,Yes,660c0d70a8f60acced0c8cc8,Strongly agree,Strongly agree,Strongly agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely satisfied,A great deal,A great deal,None at all,A great deal,Most of the time,Completely,Completely,Not at all,A little,A moderate amount,A little,A moderate amount,None at all,A little,None at all,A moderate amount,A great deal,None at all,None at all,A great deal,A great deal,A great deal,A great deal,None at all,None at all,None at all,A moderate amount,A little,A great deal,A great deal,A great deal,A great deal,None at all,A moderate amount,A little,Female,,23,Portuguese
